CensusId,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,Poverty
19087,Iowa,Henry,20080,10254,9826,883.5200000000001,17851.12,461.84,60.24,441.76000000000005,0.0,15276,49321.0,14.5
19089,Iowa,Howard,9494,4702,4792,142.41,9190.192,28.482,0.0,18.988,0.0,7094,49869.0,11.7
19091,Iowa,Humboldt,9674,4721,4953,357.93800000000005,9141.93,9.674,9.674,19.348,0.0,7258,47252.0,12.2
19093,Iowa,Ida,7071,3561,3510,134.349,6802.302000000001,35.355000000000004,28.284,21.213,0.0,5400,46993.0,11.7
19095,Iowa,Iowa,16344,8097,8247,359.56800000000004,15690.24,130.752,0.0,32.688,16.344,12444,59375.0,8.7
19097,Iowa,Jackson,19572,9733,9839,254.43600000000004,18789.12,39.144,19.572,78.288,117.432,15133,49028.0,12.1
19099,Iowa,Jasper,36726,18711,18015,624.3420000000001,34852.974,550.89,73.452,220.356,0.0,28427,55033.0,9.6
19101,Iowa,Jefferson,17318,8981,8337,519.54,14252.714,242.45199999999997,17.318,1368.122,0.0,12140,42899.0,15.0
19103,Iowa,Johnson,139436,69350,70086,7250.6720000000005,113082.59599999999,7529.544000000001,278.872,8366.16,139.436,102662,55700.0,17.9
19105,Iowa,Jones,20560,10674,9886,328.96,19490.879999999997,370.08000000000004,164.48,82.24,0.0,15910,55060.0,10.2
19107,Iowa,Keokuk,10291,5179,5112,144.07399999999998,9982.27,0.0,30.873,20.582,0.0,7874,43838.0,13.5
19109,Iowa,Kossuth,15280,7629,7651,275.04,14684.08,61.120000000000005,15.280000000000001,61.120000000000005,0.0,11791,51496.0,9.0
19111,Iowa,Lee,35369,17767,17602,1167.1770000000001,32185.79,1061.07,0.0,176.845,0.0,27486,43312.0,16.8
19113,Iowa,Linn,216640,106827,109813,6282.5599999999995,191076.48,8882.239999999998,433.28000000000003,4332.8,0.0,161083,59322.0,9.8
19115,Iowa,Louisa,11271,5751,5520,1814.631,8994.258,90.168,22.542,281.77500000000003,11.271,7880,51144.0,12.2
19117,Iowa,Lucas,8731,4376,4355,26.193,8503.994,17.462,26.193,26.193,0.0,6530,43962.0,13.1
19119,Iowa,Lyon,11723,5951,5772,293.075,11289.249,11.723,23.446,35.169000000000004,0.0,8343,57130.0,7.3
19121,Iowa,Madison,15644,7796,7848,219.016,15096.46,78.22,0.0,140.79600000000002,0.0,11424,60060.0,7.6
19123,Iowa,Mahaska,22396,11202,11194,425.524,21141.824,291.148,22.396,246.35600000000002,0.0,16854,48726.0,14.7
19125,Iowa,Marion,33248,16527,16721,598.464,31618.847999999998,166.24,66.496,332.48,0.0,24891,54693.0,9.9
19127,Iowa,Marshall,40962,20730,20232,7905.666,30557.652,655.392,122.886,1187.898,0.0,27135,53351.0,11.1
19129,Iowa,Mills,14862,7507,7355,401.27400000000006,14104.038,104.03399999999999,59.448,14.862,0.0,11223,63979.0,8.9
19131,Iowa,Mitchell,10762,5339,5423,139.906,10514.474,10.762,0.0,10.762,0.0,8088,49488.0,9.6
19133,Iowa,Monona,9088,4518,4570,145.40800000000002,8679.039999999999,45.44,118.144,9.088000000000001,0.0,7188,40302.0,13.9
19135,Iowa,Monroe,8002,4140,3862,72.01800000000001,7569.892,8.002,0.0,48.012,0.0,5915,46304.0,12.1
19137,Iowa,Montgomery,10465,5035,5430,345.345,9899.89,0.0,20.93,0.0,0.0,7977,42418.0,16.8
19139,Iowa,Muscatine,42913,21412,21501,7252.297,33858.357,643.6949999999999,85.82600000000001,514.956,42.913000000000004,30447,53676.0,12.4
19141,Iowa,O'Brien,14092,7048,7044,591.864,13190.112,70.46000000000001,14.092,112.736,0.0,10573,55227.0,7.3
19143,Iowa,Osceola,6211,3118,3093,403.71500000000003,5695.487,24.844,24.844,18.633,0.0,4606,49448.0,8.5
19145,Iowa,Page,15660,8072,7588,454.14,14391.54,328.86,62.64,187.92000000000002,0.0,12055,43912.0,15.3
19147,Iowa,Palo Alto,9208,4618,4590,184.16,8793.64,119.70400000000001,9.208,36.832,0.0,6993,47113.0,10.7
19149,Iowa,Plymouth,24853,12269,12584,919.5610000000001,23386.673,124.265,24.853,74.559,74.559,18269,57130.0,7.8
19151,Iowa,Pocahontas,7127,3548,3579,235.191,6727.888000000001,85.524,7.127,7.127,0.0,5452,45069.0,14.2
19153,Iowa,Polk,452369,222477,229892,35737.151,359633.35500000004,27594.509,904.738,17642.391,452.369,317486,60061.0,12.9
19155,Iowa,Pottawattamie,93213,45947,47266,6618.123,82959.57,1211.769,279.639,559.278,0.0,69277,51976.0,13.0
19157,Iowa,Poweshiek,18705,8987,9718,542.4449999999999,17302.125,205.75500000000002,0.0,392.805,18.705000000000002,14515,51006.0,10.4
19159,Iowa,Ringgold,5061,2474,2587,65.793,4883.865,10.122,30.366,25.305,0.0,3839,47042.0,10.6
19161,Iowa,Sac,10101,4967,5134,262.62600000000003,9676.758,60.606,0.0,0.0,0.0,7803,49572.0,8.2
19163,Iowa,Scott,169994,83437,86557,10369.634,138715.104,12919.544,339.988,3909.862,0.0,126135,55114.0,12.1
19165,Iowa,Shelby,11992,5886,6106,287.808,11476.344000000001,23.984,11.992,59.96,0.0,9119,50952.0,11.2
19167,Iowa,Sioux,34509,17404,17105,3312.864,30471.447,138.036,69.018,241.563,0.0,23843,61627.0,8.3
19169,Iowa,Story,93586,48551,45035,2901.166,80109.616,2152.478,187.172,6083.09,0.0,71529,50438.0,22.7
19171,Iowa,Tama,17479,8637,8842,1398.32,14542.528000000002,87.395,1136.135,52.437,0.0,12923,55203.0,11.3
19173,Iowa,Taylor,6213,3136,3077,465.97499999999997,5660.043,12.426,6.213,37.278,0.0,4640,44246.0,14.1
19175,Iowa,Union,12575,6015,6560,314.375,11946.25,125.75,50.300000000000004,37.725,0.0,9491,44351.0,13.6
19177,Iowa,Van Buren,7432,3799,3633,89.184,7216.472,22.296,7.432,14.864,0.0,5684,45111.0,14.9
19179,Iowa,Wapello,35315,17413,17902,3496.185,30229.64,706.3000000000001,35.315,317.83500000000004,0.0,25550,42095.0,18.6
19181,Iowa,Warren,47542,23326,24216,1093.466,45212.441999999995,237.71,95.084,190.168,47.542,35320,64447.0,6.8
19183,Iowa,Washington,22017,10847,11170,1210.935,20255.64,154.11899999999997,0.0,110.08500000000001,22.017,16327,56390.0,9.3
19185,Iowa,Wayne,6384,3092,3292,63.84,6173.328,31.92,19.152,6.384,0.0,4853,43358.0,13.3
19187,Iowa,Webster,37295,19193,18102,1566.39,33155.255,1491.8,111.885,410.24500000000006,0.0,28672,42408.0,15.2
19189,Iowa,Winnebago,10614,5222,5392,403.332,9881.634,95.52600000000001,74.29799999999999,116.754,0.0,8179,47668.0,9.9
19191,Iowa,Winneshiek,20884,10386,10498,438.564,19902.451999999997,187.95600000000002,41.768,250.608,0.0,16595,54429.0,8.1
19193,Iowa,Woodbury,102530,50448,52082,15379.5,77820.27,2870.8399999999997,1640.48,2665.78,0.0,70010,46720.0,14.6
19195,Iowa,Worth,7563,3728,3835,196.638,7222.665,75.63,0.0,15.126,0.0,5896,48459.0,12.0
19197,Iowa,Wright,12936,6446,6490,1293.6000000000001,11383.68,51.744,0.0,64.68,12.936,9460,43698.0,11.1
20001,Kansas,Allen,13081,6441,6640,405.511,11929.872000000001,222.377,26.162,65.405,13.081,9994,38698.0,18.0
20003,Kansas,Anderson,7896,3921,3975,31.584,7501.2,7.896,181.608,0.0,0.0,5886,40696.0,17.5
20005,Kansas,Atchison,16633,7977,8656,465.72399999999993,14670.306,681.9529999999999,66.532,49.899,16.633,12627,43581.0,19.2
20007,Kansas,Barber,4770,2396,2374,162.18,4436.1,14.31,14.31,23.85,0.0,3674,51811.0,10.9
20009,Kansas,Barton,27399,13307,14092,3835.8600000000006,22631.574,356.187,27.399,54.798,0.0,19674,44013.0,15.9
20011,Kansas,Bourbon,14812,7324,7488,340.676,13478.92,518.4200000000001,118.49600000000001,133.30800000000002,0.0,11018,38280.0,19.2
20013,Kansas,Brown,9880,4808,5072,365.56000000000006,8289.320000000002,158.08,731.1200000000001,59.28,9.88,7374,43724.0,16.4
20015,Kansas,Butler,66092,33192,32900,2908.0480000000002,59482.8,1321.84,528.736,594.8280000000001,0.0,48187,58897.0,10.4
20017,Kansas,Chase,2722,1348,1374,106.158,2517.85,24.498,40.83,0.0,0.0,2071,38707.0,13.8
20019,Kansas,Chautauqua,3520,1804,1716,56.32,3080.0,21.12,186.56,0.0,0.0,2789,37993.0,16.8
20021,Kansas,Cherokee,20952,10337,10615,460.9440000000001,18605.376,104.76,733.32,83.808,0.0,15702,41388.0,17.0
20023,Kansas,Cheyenne,2682,1352,1330,174.33,2437.938,0.0,0.0,32.184,0.0,2065,44500.0,8.1
20025,Kansas,Clark,2145,1055,1090,259.545,1743.885,21.45,36.465,15.014999999999999,8.58,1574,42589.0,14.9
20027,Kansas,Clay,8421,4145,4276,210.525,7983.107999999999,50.526,16.842,42.105000000000004,0.0,6304,52066.0,11.4
20029,Kansas,Cloud,9339,4650,4689,308.187,8741.304,37.356,18.678,74.712,0.0,7255,39282.0,13.5
20031,Kansas,Coffey,8458,4246,4212,202.992,7950.5199999999995,67.664,84.58,50.748,8.458,6471,57433.0,10.0
20033,Kansas,Comanche,2010,1020,990,86.42999999999999,1903.47,0.0,0.0,10.05,0.0,1465,45288.0,7.2
20035,Kansas,Cowley,36079,18184,17895,3607.9,29187.911000000004,1010.2119999999999,649.422,577.264,0.0,26675,43860.0,17.6
20037,Kansas,Crawford,39304,19733,19571,1965.2,34548.216,825.384,196.52,589.56,0.0,29768,36534.0,22.0
20039,Kansas,Decatur,2905,1455,1450,78.435,2774.275,11.620000000000001,20.334999999999997,0.0,0.0,2343,40657.0,11.2
