state,households,pet_owning_households,dog_households,dog_population,cat_households,cat_population,pet_population,household_type_cat,household_type_dog,Latitude,Longitude,xcoord,ycoord
Montana,410,251,169,282,138,277,559,cat_households,dog_households,47.3752671,-109.638757,-12204930.600447457,6003543.778839219
Nebraska,710,364,240,374,222,514,888,cat_households,dog_households,41.7370229,-99.5873816,-11086016.609147422,5121667.7875497425
Nevada,986,548,366,578,299,625,1203,cat_households,dog_households,39.5158825,-116.8537227,-13008096.908262393,4795839.0318571525
New Hampshire,508,289,154,212,174,309,521,cat_households,dog_households,43.4849133,-71.6553992,-7976642.551532743,5386074.283403829
New Jersey,3177,1611,1028,1340,803,1468,2808,cat_households,dog_households,40.0757384,-74.4041622,-8282633.449004134,4876954.489052463
New Mexico,773,523,356,703,247,533,1236,cat_households,dog_households,34.5708167,-105.993007,-11799087.566887882,4105708.72928673
New York,7512,3802,2177,3054,2189,4261,7315,cat_households,dog_households,40.7127281,-74.0060152,-8238311.927703263,4970061.019792754
North Carolina,3701,2089,1491,2518,1090,2220,4738,cat_households,dog_households,35.6729639,-79.0392919,-8798613.726968912,4255714.515592569
North Dakota,272,147,98,139,85,174,313,cat_households,dog_households,47.6201461,-100.540737,-11192143.646820439,6043891.73643206
Ohio,4661,2677,1708,2730,1553,3786,6516,cat_households,dog_households,40.2253569,-82.6881395,-9204801.583783172,4898744.774599618
Oklahoma,1479,872,638,1327,482,1041,2368,cat_households,dog_households,34.9550817,-97.2684063,-10827869.459589243,4157778.6007130095
Oregon,1505,957,584,917,605,1185,2102,cat_households,dog_households,43.9792797,-120.737257,-13440409.969016604,5462236.228881476
Pennsylvania,5172,2942,1702,2485,1748,3544,6029,cat_households,dog_households,40.9699889,-77.7278831,-8652628.367131094,5007916.040720212
Rhode Island,434,230,127,161,120,212,373,cat_households,dog_households,41.7962409,-71.5992372,-7970390.626290811,5130506.018005125
South Carolina,1759,951,678,1191,490,1039,2230,cat_households,dog_households,33.6874388,-80.4363743,-8954136.228333157,3986909.512470549
South Dakota,333,219,143,220,130,290,510,cat_households,dog_households,44.6471761,-100.348761,-11170772.97625591,5566146.5579810655
Tennessee,2583,1540,1140,2157,770,1749,3906,cat_households,dog_households,35.7730076,-86.2820081,-9604869.206313105,4269432.351920826
Texas,9002,5265,3960,7163,2544,5565,12728,cat_households,dog_households,31.2638905,-98.5456116,-10970047.303223712,3667067.9787998116
Utah,930,476,273,410,229,455,865,cat_households,dog_households,39.4225192,-111.714358,-12435985.446857467,4782375.806241778
Vermont,265,188,100,142,131,234,376,cat_households,dog_households,44.5990718,-72.5002608,-8070692.114635534,5558622.8456248045
Virginia,3017,1611,1069,1699,876,1855,3554,cat_households,dog_households,37.1232245,-78.4927721,-8737775.42112447,4456296.6398086
Washington,2632,1649,954,1609,1028,1844,3453,cat_households,dog_households,38.8950368,-77.0365427,-8575668.705838276,4706647.627558425
West Virginia,765,475,350,648,291,628,1276,cat_households,dog_households,38.4758406,-80.8408415,-8999161.311079739,4646865.939422359
Wisconsin,2350,1352,796,1138,776,1510,2648,cat_households,dog_households,44.4308975,-89.6884637,-9984074.109115,5532368.518700613
Wyoming,221,137,86,125,75,144,269,cat_households,dog_households,43.1700264,-107.568534,-11974474.430258935,5337887.511019711
